1	"このアカウントは、難しい恋の子だけ視る。

復縁、音信不通、人に言えん関係。
うまくいっとる恋の相談は、よその占い師に行き。

ウチはそっちの方が、よう視えるんや。

当てはまった子はいいね。
フォローもしといて。順に視ていくで。"	2026-08-31 18:06:00	scheduled					b
2	"「どうせ有料に誘導するんやろ」

するで。ウチはプロや。金もろて視とる。

せやけどな、誰にでも案内はせん。
視たところで動かん子に売っても、意味ないからや。

まずは無料で視る。固定に置いてあるで。
気になった子は、いいねだけ押しといて。"	2026-08-31 19:36:00	scheduled					b
3	"道ならん恋が運命に見えるんは、気のせいやない。

止まった人生を動かす縁は、都合のええ場所には現れんからや。

せやけど向きを間違うたらあかん。
その人は結ばれるためやのうて、あんたを動かすために来とる。

出会うて何が動いた？　ひとつだけコメントして。"	2026-08-31 21:06:00	scheduled					b
4	"音信不通、今で何ヶ月目や？

①1ヶ月　②3ヶ月　③半年超え

番号だけコメントして。
おんなじ沈黙でも、月数で中身がまるきり別もんになる。

いいねくれた子から順に見ていくで。"	2026-08-31 22:36:00	scheduled					b
5	"別れたあと彼が黙る理由は、2つしかない。

①あんたを整理しとる
②整理でけんから触れられん

真逆やのに、見た目はおんなじ沈黙や。
見分けは、別れ際の最後のひと言に出とる。

彼が最後に言うたひと言、コメントに置いてって。"	2026-09-01 0:06:00	scheduled					b
6	"好きになったらあかん人を、好きになってしもた子。

道徳で縁は選べん。それは、あんたが弱いからやない。

深い縁ほど、順番も立場も無視して現れる。
そういう風にできとるんや。

自分を責めるんは、今日で終いにし。

ここまで読んだ子は、いいねだけ置いてって。"	2026-09-01 1:36:00	scheduled					b
7	"復縁したい子に、ひとつだけ聞くわ。

戻りたいんは
①あの人
②あの頃の自分

①か②か、番号だけコメントして。

ここ混ぜたまま動いたら、戻れても同じとこでまた転ぶで。
どっちか分からん子は、いいねだけでええ。"	2026-09-01 3:06:00	scheduled					b
8	"待っとる側だけが、時間を数えとる。

彼は数えてへん。冷たいからやない。
待たされる側にしか、時間は流れんからや。

——せやから、あんただけが減っていく。

心当たりある子はいいね。
今日で何日目か、数字も置いてってええで。"	2026-09-01 4:36:00	scheduled					b
9	"会いたい時に会えん恋を、しとる子。

その我慢を、愛やと思い込まんことや。
我慢と愛は、途中まで同じ顔しとる。

見分け方はひとつだけ。
——その我慢、向こうも同じだけしとるか。

答えが「してへん」やった子は、いいね押してき。"	2026-09-01 6:06:00	scheduled					b
10	"今の状況を、ひと言だけコメントして。

「音信不通」「復縁」「言えん恋」——それでええ。
長い事情は要らん。ひと言で、ウチには視える。

いいねとフォローが受付の代わりや。
順に視ていくんで、あんたの分を見失わんで済む。"	2026-09-01 7:36:00	scheduled					b
