833	"既読をつける速さ、生まれ月で意味が真逆やで。

4月生まれは読んですぐ付ける。返す気があるからやない、癖や。
11月生まれは返す文が決まってから開く。

あんたの彼、何月生まれ？"	2026-08-31 18:30:00	scheduled					
834	"彼が喧嘩のあと戻ってくる形、生まれ月で決まっとる。

1月生まれは黙って隣に座る。謝らへん。
6月生まれは先に飯の話をしてくる。

どっちも謝罪や。形がちゃうだけ。
あんたの彼、何月生まれ？"	2026-08-31 20:00:00	scheduled					
835	"「好き」を口に出す場面、生まれ月で全然ちゃう。

4月生まれは真っ昼間に言う。
12月生まれは帰り際、背中向けて言う。

言われた場所で温度を測ったらあかん。
あんたの彼、何月生まれ？"	2026-08-31 21:30:00	scheduled					
836	"彼の誘い方にも生まれ月が出るで。

5月生まれは用事をこしらえて誘う。
8月生まれは「暇？」の二文字だけ投げてくる。

雑に見える方が、実は勇気出しとる。
あんたの彼、何月生まれ？"	2026-08-31 23:00:00	scheduled					
837	"嫉妬の出方な、生まれ月でこんだけちゃう。

2月生まれは急に連絡を減らす。
7月生まれは何ヶ月も溜めて、関係ない日に爆発する。

あんたの彼、何月生まれ？"	2026-09-01 00:30:00	scheduled					
838	"彼が本音を漏らす時間帯、生まれ月で決まっとる。

9月生まれは酒が入った夜中。
3月生まれは眠たなった明け方。

昼の彼が本体やと思わんことや。
あんたの彼、何月生まれ？"	2026-09-01 02:00:00	scheduled					
839	"会えん時間の埋め方、生まれ月で真逆やで。

10月生まれは何も送らんと平気な顔をする。
12月生まれは意味のない写真を送ってくる。

送ってこん方が薄いとは限らん。
あんたの彼、何月生まれ？"	2026-09-01 03:30:00	scheduled					
840	"別れが近い時に出る癖、生まれ月でちゃう。

6月生まれは急に優しなる。
2月生まれは予定の話をせんようになる。

優しさの方が、実は危ない。
あんたの彼、何月生まれ？"	2026-09-01 05:00:00	scheduled					
841	"彼があんたの呼び方を変えた時。

1月生まれが下の名前で呼び出したら、腹をくくった合図や。
11月生まれは逆に、近づくほど呼ばんようになる。

あんたの彼、何月生まれ？"	2026-09-01 06:30:00	scheduled					
842	"甘え方にも生まれ月が出るんよ。

7月生まれは体調が悪いふりをする。
4月生まれは「会いたい」と正面から言う。

回りくどい方が、実は必死や。
あんたの彼、何月生まれ？"	2026-09-01 08:00:00	scheduled					
843	"彼が弱音を吐く相手、生まれ月で決まっとる。

8月生まれは誰にも言わん。プライドが邪魔する。
5月生まれは友達より先に、あんたに言う。

言うてもろてる子は、それが答えや。
あんたの彼、何月生まれ？"	2026-09-01 09:30:00	scheduled					
844	"未読のまま置く理由、生まれ月でちゃうで。

11月生まれは返す言葉が決まらんから。
2月生まれは開いた時点で急かされた気がするから。

どっちも嫌いになったんやない。
あんたの彼、何月生まれ？"	2026-09-01 11:00:00	scheduled					
845	"将来の話を避ける時のかわし方な。

9月生まれは理屈で逃げる。「今は仕事が」て言う。
3月生まれは笑って話を変える。

理屈で逃げる方が、実は考えとる。
あんたの彼、何月生まれ？"	2026-09-01 12:30:00	scheduled					
846	"秋に入ると彼の連絡が変わる。生まれ月で出方がちゃう。

10月生まれは自分の誕生月の前に静かになる。
7月生まれは急に昔の話をしだす。

あんたの彼、何月生まれ？"	2026-09-01 14:00:00	scheduled					
847	"デートの終わり方に本音が出るで。

12月生まれは改札まで来て、そこで動かん。
4月生まれはさっさと背中を向ける。

早う帰る方が冷めとるとは限らん。
あんたの彼、何月生まれ？"	2026-09-01 15:30:00	scheduled					
848	"返事が短うなった時。生まれ月で意味が真逆や。

6月生まれが短いのは、気ぃ遣うのに疲れた時。
1月生まれが短いのは、単に文を打つのが面倒な時。

あんたの彼、何月生まれ？"	2026-09-01 17:00:00	scheduled					
849	"元カノの話を出す時の狙い、生まれ月でちゃう。

8月生まれは反応を見たいだけ。
5月生まれは自分の話をする流れで、つい出てまう。

あんたの彼、何月生まれ？"	2026-09-01 18:30:00	scheduled					
850	"二人でおる時の沈黙。生まれ月で中身がちゃうで。

11月生まれの沈黙は、居心地がええから黙っとる。
2月生まれの沈黙は、何か言われる前に構えとる。

あんたの彼、何月生まれ？"	2026-09-01 20:00:00	scheduled					
851	"写真を撮るか撮らんか、そこにも出るんよ。

12月生まれは残したがる。先を考えとる証拠や。
9月生まれは撮らん。形にするのが怖い。

あんたの彼、何月生まれ？"	2026-09-01 21:30:00	scheduled					
