758	"音信不通の彼、戻ってくる入り口が生まれ月で全然ちゃう。

3月生まれは何もなかった顔で来る。
5月生まれは用事をこしらえて来る。
8月生まれはあんたが黙った途端に来る。

あんたの彼、何月生まれ？"	2026-08-26 22:00:00	scheduled				
759	"既婚とか、誰にも言えん関係を抱えとる子。

ここでは名前も要らん。事情も書かんでええ。
言えん話を持っとるだけで、人はじゅうぶん疲れる。

彼の生まれ月だけ、置いてって。それだけでウチは視る"	2026-08-26 23:30:00	scheduled				
760	"この時間に起きとる子。眠れんのやろ。

2月生まれは追われると逃げる。
8月生まれは放っとかれた瞬間に急に連絡してくる。
同じ沈黙でも、中身が真逆やねん。

あんたの彼、何月生まれ？"	2026-08-27 1:00:00	scheduled				
761	"彼が謝れるかどうか、生まれ月で見える。

4月生まれは限界まで言わん。溜めてから一気に謝る。
12月生まれは見栄が邪魔して謝れん。用件のふりして来る。
1月生まれは理屈から入る。

あんたの彼は？"	2026-08-27 2:30:00	scheduled				
762	"夜中に既読だけついて、返事が来ん。

7月生まれは実は待っとる。自分からは言わんだけや。
11月生まれは沈黙が長い。けど切ってはない。

彼の生まれ月、置いてってみ"	2026-08-27 4:00:00	scheduled				
763	"別れたあと、男が振り返る時期は生まれ月で決まっとる。

9月生まれは三ヶ月目。
10月生まれは半年後。
2月生まれは、あんたが完全に諦めた頃や。

あんたの彼、何月生まれ？"	2026-08-27 5:30:00	scheduled				
764	"あんたの彼のこと、言い当ててみよか。

自分からの連絡は減っとる。
せやのに、あんたが黙った途端に来る。
ちゃうか。

それ性格やのうて癖や。生まれ月、置いてってみ"	2026-08-27 7:00:00	scheduled				
765	"追えば追うほど引かれる。それ、生まれ月で真逆やで。

3月生まれは追われると重荷に感じる。放っといたら気になる。
7月生まれは追われたい。けど自分からは言わん。

あんたの彼は？"	2026-08-27 8:30:00	scheduled				
766	"朝に「大丈夫」て自分に言うて起きた子。

それ、もうやり方を掴んどる。
連絡の有無で一日の色が決まらんようになったら、その恋は強い。

彼の生まれ月だけ置いてって。あんたの分を見失わんように"	2026-08-27 10:00:00	scheduled				
767	"「今は無理」と「もう無理」は、まったく別の言葉や。

前者には時期が入っとる。後者には入ってへん。
彼が使うたんは、どっちやった？

生まれ月も添えてくれたら、そこまで視る"	2026-08-27 11:30:00	scheduled				
768	"「嫌いになってへんよ」て言われて安心した子、ちょっと待ち。

6月生まれがそれを言う時は、頭で終わらせて心が追いついてへん時や。
1月生まれが言う時は、もう整理が済んどる。

彼、何月生まれ？"	2026-08-27 13:00:00	scheduled				
769	"何回も別れて、何回も戻ってきた二人。

その形自体は悪ない。
ただ、毎回おんなじとこで切れとるなら、切れる場所に理由がある。

彼の生まれ月、置いてって。どこで切れる型か視たる"	2026-08-27 14:30:00	scheduled				
770	"復縁したいだけの子は、この先読まんとき。

ウチが視るんは「戻れるか」やのうて「戻ってどうするか」やから。

そこまで考える気のある子だけ、彼の生まれ月を置いてって"	2026-08-27 16:00:00	scheduled				
771	"彼が冷める順番も、生まれ月で決まっとる。

5月生まれは会う回数から減る。
8月生まれは返信の速さから落ちる。
12月生まれは最後まで態度を変えん。急に終わる。

あんたの彼は？"	2026-08-27 17:30:00	scheduled				
772	"誰にも言えんまま、今日も一日終わった子。

友達にも家族にも言えん恋を、一人で抱えとるやろ。
名前も事情も要らん。

彼の生まれ月だけ、コメントに置いてって。順番に視ていくわ"	2026-08-27 19:00:00	scheduled				
