773	"夜中に一人で画面見とる子。

2月生まれは追われると逃げる。
8月生まれは黙った途端に急に来る。
同じ沈黙でも、中身が真逆やねん。

あんたの彼、何月生まれ？"	2026-08-28 00:30:00	scheduled				
774	"既読がついて、そこで止まる。

11月生まれは沈黙が長い。けど切ってはない。
7月生まれは実は待っとる。自分からは言わんだけや。

彼の生まれ月、置いてってみ"	2026-08-28 02:00:00	scheduled				
775	"眠れん夜に、この投稿を開いた子。

その時間に思い出す相手がおるいうことや。
無理に忘れんでええ。

彼の生まれ月だけ、置いてって。それだけでウチは視る"	2026-08-28 03:30:00	scheduled				
776	"彼が本音を言う場所、生まれ月で決まっとる。

1月生まれは理屈にくるんで言う。
4月生まれは限界まで溜めて、一気に出す。
12月生まれは、最後まで言わん。

あんたの彼は？"	2026-08-28 05:00:00	scheduled				
777	"朝いちばんに既読だけついて、返事がない。

3月生まれは何もなかった顔で夜に来る。
5月生まれは用事をこしらえて来る。

彼の生まれ月、置いてって"	2026-08-28 06:30:00	scheduled				
778	"「おはよう」が来る日と来ん日がある。

その差を数えとる子、おるやろ。
それ、あんたが細かいんやない。ちゃんと見とるだけや。

あんたの彼、何月生まれ？"	2026-08-28 08:00:00	scheduled				
779	"別れたあと、男が振り返る時期は生まれ月で決まっとる。

9月生まれは三ヶ月目。
10月生まれは半年後。
2月生まれは、あんたが完全に諦めた頃や。

あんたの彼は？"	2026-08-28 09:30:00	scheduled				
780	"あんたの彼のこと、言い当ててみよか。

自分からの連絡は減っとる。
せやのに、あんたが黙った途端に来る。
ちゃうか。

それ性格やのうて癖や。生まれ月、置いてってみ"	2026-08-28 11:00:00	scheduled				
781	"仕事の話しかせんようになった彼。

冷めたんとちゃう場合がある。
6月生まれは、頭で終わらせても心が追いついてへん時にそうなる。

彼、何月生まれ？"	2026-08-28 12:30:00	scheduled				
782	"「忙しい」が本当か言い訳か、生まれ月で見える。

5月生まれは会う回数から減る。忙しいは本当。
8月生まれは返信の速さから落ちる。ここが分かれ目や。

あんたの彼は？"	2026-08-28 14:00:00	scheduled				
