11	"ブロックされた子へ。

あれは「もう関わりたない」やない。
自分の指を止める方法が、それしか無かったんや。

消す手間より、閉める方が楽やった。それだけ。

心当たりある子はいいね。"	2026-09-01 18:57:40	scheduled					b
12	"ブロックが外れとった朝。

気づいた瞬間、心臓が鳴ったやろ。

外したんは、向こうの気まぐれやない。
外すには、あんたの名前を探さなあかんかった。

そこまでした人の話や。いいね押してき。"	2026-09-01 20:27:40	scheduled					b
13	"共通の友達に、彼のこと聞きたなっとる子。

聞いたらあかん。
その子から、まず伝わる。「聞いてたで」って。

知りたい気持ちは正しい。ルートだけ間違うとる。

我慢しとる子は、いいねだけ置いてって。"	2026-09-01 21:57:40	scheduled					b
14	"別れた相手の荷物、まだ家にあるやろ。

返す返さんで迷とるうちは、まだ終わってへん。

送り返した日が、あんたの区切りになる。
渡しに行くんは、区切りにならん。

今どっちの状態や？　①送った　②まだ家にある"	2026-09-01 23:27:40	scheduled					b
15	"別れたのに、まだ連絡先を消せてへん子。

消せんのは未練やない。
消したら、こっちから閉めたことになるからや。

閉める役を引き受けたないだけ。それでええ。

まだ残しとる子は、いいね。"	2026-09-02 00:57:40	scheduled					b
16	"別れ際の最後のひと言で、その後が変わる。

①ごめん
②ありがとう
③何も言われてへん

どれやった？　番号だけコメントして。
この3つ、意味がまるきりちゃうんよ。"	2026-09-02 02:27:40	scheduled					b
17	"別れた相手の誕生日、送るか送らんか。

①送る
②送らん

番号だけ置いてって。

言うとくけど、正解はどっちにもある。
決め手はあんたの目的で、彼の反応やない。"	2026-09-02 03:57:40	scheduled					b
18	"相手のSNSに足跡だけ残しとる子。

見に行っとるんが向こうにバレるかどうか、
そこを気にしとる時点で、まだ現役や。

隠れて見るんは、悪いことやない。
ただ、それを何ヶ月続けるかは決めとき。

読んだ子はいいね。"	2026-09-02 05:27:40	scheduled					b
19	"久しぶりに、彼からいいねが来た子。

あれは事故やない。
指が滑る場所に、あんたの投稿は無い。

わざわざ遡って、押しとる。

同じ経験ある子、いいねで教えて。"	2026-09-02 06:57:40	scheduled					b
20	"「もう好きじゃない」て言われた子。

その言葉、疑うてええ。

ほんまに好きやなくなった人間は、
わざわざ宣言せん。黙って離れるだけや。

言葉にしたんは、自分に言い聞かせるためやったりする。

引っかかっとる子は、いいね押してき。"	2026-09-02 08:27:40	scheduled					b
21	"復縁したのに、また同じとこで揉めた子。

戻り方を間違えたんやない。
戻る前に、揉めた原因を言葉にせんかっただけや。

「今度は大丈夫」は、対策やない。

思い当たる子は、いいね押してき。"	2026-09-02 09:57:40	scheduled					b
22	"別れて今日で何日目や？

①1週間以内　②1ヶ月　③3ヶ月以上

番号だけコメントして。
日数で、しんどさの中身が別もんになる。"	2026-09-02 11:27:40	scheduled					b
23	"別れ話で、彼が泣いた子。

あれ見て「まだ好きなんや」と思たやろ。

半分合うとる。
けど涙は、決めた後に出ることの方が多いんよ。

泣いたから戻る、とは限らん。そこは分けとき。

読んだ子は、いいねだけ置いてって。"	2026-09-02 12:57:40	scheduled					b
24	"自分から振ったのに、しんどい子。

振った側は泣いたらあかん、なんて決まりは無い。

決めたんはあんたやけど、
好きやったんもあんたや。両方ほんまでええ。

当てはまる子は、いいねだけ置いてって。"	2026-09-02 14:27:40	scheduled					b
25	"送ったのに、既読すらつかん子。

未読は拒否やない。開けてへんだけや。

開けたら返さなあかん。
返す言葉が無い人は、開けられへんのよ。

今、何日目？　数字だけコメントして。"	2026-09-02 15:57:40	scheduled					b
26	"既読はつくのに、返事が来ん。

これがいちばんしんどい形や。
読んでる。届いてる。それでも返らん。

けどな、読んどるいうことは、まだ見とるいうことや。
消したい相手の文は、そもそも開けん。

今それやいう子は、いいね。"	2026-09-02 17:27:40	scheduled					b
